GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,no.cmarker.backend,PasswordConfig,0,7,0,0,0,2,0,2,0,2
backend,no.cmarker.backend.entities,Person,4,13,0,0,2,6,1,4,1,4
backend,no.cmarker.backend.entities,Book,14,29,0,0,6,12,4,7,4,7
backend,no.cmarker.backend.entities,BookPost,7,24,0,0,3,11,2,7,2,7
backend,no.cmarker.backend.entities,Message,28,3,0,0,12,1,8,1,8,1
backend,no.cmarker.backend.entities,User,15,23,0,0,5,12,5,6,5,6
backend,no.cmarker.backend.services,BookService,32,31,2,0,9,8,4,3,3,3
backend,no.cmarker.backend.services,UserService,2,40,1,1,1,11,1,2,0,2
backend,no.cmarker.backend.services,DefaultDataInitializerService,3,18,0,0,2,4,0,4,0,4
backend,no.cmarker.backend.services,BookPostService,33,77,2,2,4,19,3,5,1,5
backend,no.cmarker.backend.services,PersonService,0,24,0,0,0,6,0,3,0,3
backend,no.cmarker.backend.services,MessageService,3,0,0,0,1,0,1,0,1,0
