GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reports/backend,no.cmarker.backend,PasswordConfig,0,7,0,0,0,2,0,2,0,2
reports/backend,no.cmarker.backend.entities,Book,8,35,0,0,4,14,2,9,2,9
reports/backend,no.cmarker.backend.entities,BookPost,7,24,0,0,3,11,2,7,2,7
reports/backend,no.cmarker.backend.entities,Message,16,29,0,0,6,13,5,8,5,8
reports/backend,no.cmarker.backend.entities,User,26,43,0,0,10,17,8,9,8,9
reports/backend,no.cmarker.backend.services,BookService,2,61,1,1,1,16,1,6,0,6
reports/backend,no.cmarker.backend.services,UserService,2,78,1,1,1,19,1,4,0,4
reports/backend,no.cmarker.backend.services,DefaultDataInitializerService,3,173,0,0,2,17,0,13,0,13
reports/backend,no.cmarker.backend.services,BookPostService,24,92,2,2,2,22,2,6,0,6
reports/backend,no.cmarker.backend.services,MessageService,24,73,2,2,2,19,2,4,0,4
reports/frontend,no.cmarker.frontend.controller,BookController,64,7,0,0,17,2,11,2,11,2
reports/frontend,no.cmarker.frontend.controller,SignUpController,63,0,4,0,20,0,8,0,6,0
reports/frontend,no.cmarker.frontend.controller,UserInfoController,28,0,0,0,6,0,4,0,4,0
reports/frontend,no.cmarker.frontend.controller,MessageController,39,0,0,0,13,0,7,0,7,0
reports/frontend,no.cmarker.frontend.controller,BookPostController,19,0,0,0,5,0,3,0,3,0
reports/frontend,no.cmarker,Application,5,3,0,0,2,1,1,1,1,1
reports/frontend,no.cmarker.frontend,WebSecurityConfig,12,94,0,0,4,26,0,4,0,4
reports/frontend,no.cmarker.frontend,RedirectForwardHandler,0,5,0,0,0,2,0,2,0,2
